id_departamento,departamento,id_municipio,municipio,id_localidad,localidad,año_servicio,mes_servicio,energia_activa,energia_reactiva,potencia_maxima,dia_demanda_maxima,fecha_demanda_maxima,promedio_diario_horas
18,CAQUETÁ,18753,SAN VICENTE DEL CAGUÁN,18753033,VILLA LOBOS (SAN VICENTE DEL CAGUÁN - CAQUETÁ),2024,10,5.84,2.186,60.0,sábado,2024 Oct 05 07:45:00 PM,24.0
19,CAUCA,19318,GUAPI,19318013,SAN ANTONIO DE GUAJUI (GUAPI - CAUCA),2024,10,10.491,5.719,60.0,martes,2024 Oct 29 07:15:00 PM,24.0
19,CAUCA,19418,LÓPEZ DE MICAY,19418009,NOANAMITO (LÓPEZ DE MICAY - CAUCA),2024,10,5.55,2.571,44.0,lunes,2024 Oct 28 07:15:00 PM,24.0
19,CAUCA,19809,TIMBIQUÍ,19809014,CHACON (TIMBIQUÍ - CAUCA),2024,10,4.237,1.0,60.0,sábado,2024 Oct 26 06:30:00 PM,24.0
19,CAUCA,19809,TIMBIQUÍ,19809010,COMUNIDAD DE CHETE (TIMBIQUÍ - CAUCA),2024,10,4.853,1.895,60.0,miércoles,2024 Oct 30 06:30:00 PM,24.0
19,CAUCA,19809,TIMBIQUÍ,19809007,SAN JOSE (TIMBIQUÍ - CAUCA),2024,10,5.319,3.342,60.0,miércoles,2024 Oct 30 07:00:00 PM,24.0
19,CAUCA,19809,TIMBIQUÍ,19809009,SANTA ROSA DE SAIJA (TIMBIQUÍ - CAUCA),2024,10,2.838,867.0,60.0,domingo,2024 Oct 27 07:15:00 PM,24.0
27,CHOCÓ,27006,ACANDÍ,27006000,ACANDÍ (ACANDÍ - CHOCÓ),2024,10,700.05,199.855,60.0,viernes,2024 Oct 25 10:15:00 PM,24.0
27,CHOCÓ,27006,ACANDÍ,27006007,SAN FRANCISCO (ACANDÍ - CHOCÓ),2024,10,0.0,0.0,0.0,martes,2024 Oct 01 12:00:00 AM,0.0
27,CHOCÓ,27025,ALTO BAUDO,27025000,CIUDAD BAUDO - PIE DE PATO (ALTO BAUDO - CHOCÓ),2024,10,49.525,17.855,60.0,sábado,2024 Oct 05 11:30:00 AM,24.0
27,CHOCÓ,27075,BAHÍA SOLANO,27075000,CIUDAD MUTIS (BAHÍA SOLANO - CHOCÓ),2024,10,858.004,260.374,60.0,jueves,2024 Oct 17 06:30:00 PM,24.0
27,CHOCÓ,27075,BAHÍA SOLANO,27075001,CUPICA (BAHÍA SOLANO - CHOCÓ),2024,10,46.559,17.624,60.0,viernes,2024 Oct 11 07:00:00 PM,24.0
27,CHOCÓ,27075,BAHÍA SOLANO,27075002,EL VALLE (BAHÍA SOLANO - CHOCÓ),2024,10,113.146,38.231,60.0,sábado,2024 Oct 05 07:00:00 PM,24.0
27,CHOCÓ,27077,BAJO BAUDÓ,27077002,BELEN DE DOCAMPADO (BAJO BAUDÓ - CHOCÓ),2024,10,8.011,2.852,60.0,sábado,2024 Oct 26 06:30:00 PM,24.0
27,CHOCÓ,27077,BAJO BAUDÓ,27077905,BUENAVISTA (BAJO BAUDÓ - CHOCÓ),2024,10,4.169,1.669,60.0,miércoles,2024 Oct 02 08:30:00 PM,24.0
27,CHOCÓ,27077,BAJO BAUDÓ,27077029,FIRME DE USARGA (BAJO BAUDÓ - CHOCÓ),2024,10,517.0,229.0,60.0,lunes,2024 Oct 28 11:45:00 AM,24.0
27,CHOCÓ,27077,BAJO BAUDÓ,27077026,GUINEAL (BAJO BAUDÓ - CHOCÓ),2024,10,2.627,1.961,60.0,domingo,2024 Oct 27 06:15:00 PM,24.0
27,CHOCÓ,27077,BAJO BAUDÓ,27077008,ORPUA (BAJO BAUDÓ - CHOCÓ),2024,10,308.0,157.0,60.0,miércoles,2024 Oct 30 07:30:00 PM,24.0
27,CHOCÓ,27077,BAJO BAUDÓ,27077011,PILIZA - BELLAVISTA - VILLA LUZ (BAJO BAUDÓ - CHOCÓ),2024,10,3.472,1.076,60.0,viernes,2024 Oct 25 07:00:00 PM,24.0
27,CHOCÓ,27077,BAJO BAUDÓ,27077000,PIZARRO (BAJO BAUDÓ - CHOCÓ),2024,10,121.713,47.969,60.0,sábado,2024 Oct 05 06:45:00 PM,24.0
27,CHOCÓ,27077,BAJO BAUDÓ,27077016,SIVIRU (BAJO BAUDÓ - CHOCÓ),2024,10,0.0,0.0,0.0,martes,2024 Oct 01 12:00:00 AM,0.0
27,CHOCÓ,27077,BAJO BAUDÓ,27077916,TERRON (BAJO BAUDÓ - CHOCÓ),2024,10,5.259,2.26,60.0,sábado,2024 Oct 05 06:45:00 PM,24.0
